name,price,description,image,category,badges,rating
Chocolate en polvo 70% cacao (200 g),90.00,"Disfruta del auténtico sabor del cacao con nuestro Chocolate en Polvo 70% Cacao, endulzado con alulosa natural para ofrecerte una experiencia intensa y saludable. Menos azúcar, más sabor real a chocolate de alta calidad. Características e ingredientes principales: 🍫 70% cacao puro de origen natural 🍬 Endulzado con alulosa — bajo índice glucémico y sin calorías añadidas 🌱 Con oligofructosa, una fibra prebiótica que favorece la salud intestinal 🚫 Sin azúcar refinada ni edulcorantes artificiales Beneficios: ✅ Ideal para quienes buscan reducir el consumo de azúcar sin perder sabor ✅ No eleva los niveles de glucosa — apto para personas con dieta baja en carbohidratos ✅ Aporta antioxidantes naturales del cacao ✅ Favorece la salud digestiva y el bienestar general Modo de consumo: Perfecto para preparar bebidas calientes o frías, smoothies, repostería o para espolvorear sobre frutas y postres.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/chocolate_singluten_sinfondo_e2d6157f-6266-46bc-a9c8-4fd4e6f8c309.jpg?v=1765187036,,,
Chocolate en polvo 70% cacao (200 g) FALSO,80.00,"Disfruta del sabor intenso y auténtico del chocolate 70% cacao , endulzado con alulosa , un edulcorante natural de bajo índice glucémico. Una alternativa deliciosa y saludable para quienes buscan disfrutar del verdadero cacao sin exceso de azúcar. Características e ingredientes principales: 🍫 70% cacao de alta calidad, sabor intenso y natural 🍃 Endulzado con alulosa (índice glucémico 0) 🌾 Con oligofructosa, fuente natural de fibra prebiótica 🌻 Contiene lecitina de girasol, sin soya ni aditivos artificiales 🚫 Sin azúcar refinada ni ingredientes de origen animal Beneficios: ✔️ Ideal para quienes buscan reducir el consumo de azúcar ✔️ Aporta energía y antioxidantes naturales del cacao ✔️ Favorece la salud digestiva gracias a su contenido de fibra prebiótica ✔️ Apto para dietas balanceadas, keto o bajas en carbohidratos Modo de consumo: Mézclalo con leche vegetal o agua caliente para preparar una bebida reconfortante, agrégalo a tus smoothies, postres o repostería saludable.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/Archivo_000_4010dabb-ae27-4056-a850-c6f9de491ad9.jpg?v=1760715285,,,
Coco rallado (250 g),65.00,"Disfruta de nuestro coco rallado deshidratado orgánico, una opción deliciosa, natural y versátil para darle un toque tropical y saludable a tus recetas. Perfecto para repostería, postres y preparaciones dulces o saladas. Características e ingredientes principales: 🥥 Coco rallado deshidratado orgánico 🍬 Endulzado con azúcar de caña orgánica 🌱 Producto 100% natural y vegano 🚫 Sin conservadores ni aditivos artificiales Beneficios: ✅ Fuente natural de fibra y energía ✅ Aporta sabor y textura única a tus preparaciones ✅ Alternativa saludable para endulzar y decorar postres ✅ Ideal para una alimentación balanceada y consciente Modo de consumo: Úsalo en repostería, batidos, yogures, postres, panes, galletas o como topping para ensaladas y bowls.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/coco_rallado_sinfondo.jpg?v=1765185448,,,
Coditos - Harina de ajonjolí,100.00,"Coditos – Harina de Ajonjolí (200 g) • Vegano • Integral Descubre nuestros Coditos de Harina de Ajonjolí , una opción nutritiva y deliciosa para quienes buscan un alimento natural y saludable. Elaborados con ingredientes integrales y sin conservadores , son ideales para una alimentación equilibrada y consciente. Características principales: 🌱 Producto vegano – libre de ingredientes de origen animal 🌾 Integral – mantiene fibra y nutrientes esenciales 🚫 Sin conservadores 💪 Aporta proteína vegetal y grasas saludables 📦 Presentación: Bolsa de 200 g Ingredientes: Sémola de trigo, ajonjolí blanco, proteína de trigo, lecitina y harina de ajonjolí. Modo de consumo: Perfectos para sopas, ensaladas frías o como base de pastas con salsas saludables. Conservación: Conservar en un lugar fresco y seco. Una vez abierto, mantener en envase hermético para preservar frescura y sabor.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-34_ce00f31d-29ae-45ce-938a-dd04717bd5a2.jpg?v=1754695833,,,
Cúrcuma orgánica (250 g),125.00,"Descubre el poder de nuestra cúrcuma orgánica, un antiinflamatorio natural que apoya la salud integral. Conocida como el “oro de la India” , la cúrcuma ayuda a aliviar molestias articulares, mejorar la digestión y proteger el bienestar cerebral. Características e ingrediente principal: 🌿 100% cúrcuma (azafrán de la India) orgánica 💛 Potente antiinflamatorio natural 🚫 Libre de aditivos y químicos 🌱 Producto vegano y natural Beneficios: ✅ Alivia el dolor y la inflamación en casos de artritis, artrosis y reumatismo ✅ Favorece la salud digestiva y ayuda en trastornos gastrointestinales ✅ Contribuye a la salud bucal (enfermedad periodontal) ✅ Apoya la prevención de enfermedades neurodegenerativas como párkinson y alzhéimer Modo de consumo: Añade una cucharadita a tus batidos, leches vegetales, sopas, currys o infusiones. Combínala con pimienta negra y aceite saludable para potenciar su absorción.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/curcuma_sinfondo.jpg?v=1765185448,,,
Dátiles orgánicos (100 g),35.00,"Disfruta de nuestros Dátiles Orgánicos, un snack 100% natural, nutritivo y delicioso. Perfectos para quienes buscan un toque dulce sin añadir azúcar refinada. Características e ingrediente principal: 🌱 Hechos con dátiles orgánicos secados al sol 🍬 Endulzante natural y saludable 💪 Ricos en fibra y minerales esenciales 🌿 Opción saludable para snacks o recetas Beneficios: Snack práctico y nutritivo para cualquier momento del día Ideal para añadir dulzura natural a batidos, licuados o postres Ayuda a mantener una dieta balanceada y consciente Modo de consumo: Disfrútalos solos como snack o incorpóralos a tus batidos, licuados y postres favoritos.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/datiles_sinfondo.jpg?v=1765185449,,,
Ensalada,100.00,"Ensalada Fresca de Lechuga y Espinaca • Súper Rica y Natural Disfruta de nuestra ensalada artesanal preparada con lechuga y espinaca frescas, perfecta para una alimentación saludable y llena de sabor. Ideal para compartir hasta 4 porciones, perfecta para acompañar cualquier comida o como plato ligero. Ingredientes: Lechuga fresca Espinaca fresca Características principales: 🌿 Ingredientes 100% naturales 🥗 Rico sabor y textura fresca 🍃 Sin aditivos ni conservantes 🍽️ Porciones para hasta 4 personas Beneficios: Alto contenido en fibra y antioxidantes Ideal para dietas saludables y balanceadas Fácil y rápida de preparar Modo de consumo: Perfecta como acompañamiento en almuerzos y cenas o para preparar wraps y bowls nutritivos.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-28-19_44a89bd6-fc42-4ded-9725-8f5f500f4b72.jpg?v=1754695833,,,
Espagueti sin gluten (200 g),75.00,"Disfruta de nuestro Espagueti de Arroz Basmati, una alternativa ligera, natural y sin gluten, perfecta para quienes buscan cuidar su salud intestinal sin renunciar al placer de una buena pasta. Su textura suave y su sabor delicado lo hacen ideal para todo tipo de preparaciones. Características e ingredientes principales: 🌾 Elaborado con arroz basmati ecológico y agua 🚫 Naturalmente libre de gluten y alérgenos 💧 Fácil de digerir y ligero para el sistema digestivo 🍝 Ideal para dietas balanceadas y restrictivas Beneficios: ✅ Perfecto para personas con sensibilidad o intolerancia al gluten ✅ Favorece la salud intestinal gracias a su fácil digestión ✅ Aporta energía limpia y sostenida ✅ Versátil para combinar con salsas, verduras o proteínas Modo de consumo: Cocina durante unos minutos en agua hirviendo, escúrrelo y acompáñalo con tu salsa favorita o en ensaladas frías. Una opción saludable, deliciosa y libre de gluten para toda la familia.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/espaguetti_sinfondo.jpg?v=1765185447,,,
Extracto Vainilla orgánica (250 ml),100.00,"Disfruta de nuestro extracto puro de vainilla orgánica, un ingrediente natural, aromático y versátil que no solo realza el sabor de tus recetas, sino que también aporta beneficios para la salud gracias a sus propiedades antioxidantes y antiinflamatorias. Características e ingrediente principal: 🌱 Extracto puro de vainilla orgánica 🍨 Aroma y sabor intensos, 100% natural 💚 Propiedades antioxidantes y antiinflamatorias 🚫 Libre de aditivos y conservadores artificiales Beneficios: ✅ Ayuda a la digestión y al bienestar intestinal ✅ Favorece la relajación y reduce el estrés ✅ Refuerza el sistema inmunológico de forma natural ✅ Ideal para una cocina saludable y consciente Modo de consumo: Usa una porción moderada en postres, bebidas, batidos, helados, repostería o incluso en infusiones. Una pequeña cantidad es suficiente para aportar un sabor y aroma excepcionales.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/vainilla_sinfondo.jpg?v=1765185448,,,
Galletas chocochips / sin azúcar,100.00,"Galletas Chocochips • Keto • Sin Azúcar, Sin Gluten y Sin Químicos Disfruta de nuestras galletas chocochips elaboradas con ingredientes naturales y saludables, perfectas para dietas keto y para quienes buscan un snack delicioso sin culpa. Sin azúcar, sin gluten y libres de químicos, son la opción ideal para un antojo nutritivo. Ingredientes: Harina de almendra Harina de coco Harina de cacahuete Stevia Extracto de vainilla Leche de soya Aceite de coco Chispas de chocolate sin azúcar (Lakanto) Eritritol Polvo para hornear Goma guar Sal de mar Características principales: 🍫 Chispas de chocolate sin azúcar para un sabor indulgente 🌾 Sin gluten – aptas para celíacos 🚫 Sin químicos ni conservadores 🌱 Keto friendly – bajas en carbohidratos 🔟 Contenido: 10 piezas por paquete Beneficios: Fuente de grasas saludables y proteína vegetal Endulzadas con stevia y eritritol para evitar picos de glucosa Elaboradas con ingredientes naturales y de calidad Modo de consumo: Perfectas para acompañar tu café, té o para un snack energético durante el día.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-353.jpg?v=1754695832,,,
Galletas coco sin azúcar,0.00,"Galletas de Coco • Keto • Sin Azúcar, Sin Gluten y Sin Lácteos Deléitate con nuestras galletas artesanales de coco , elaboradas especialmente para quienes buscan un estilo de vida saludable y bajo en carbohidratos. Libres de azúcar, gluten y lácteos, son perfectas para dietas Keto o para disfrutar sin culpas. Ingredientes: Harina de coco Coco orgánico en hojuela Harina de almendra Aceite de coco orgánico Leche de soya en polvo Eritritol (endulzante natural) Huevo Agua Polvo para hornear Vainilla Sal de Himalaya Características principales: 🌴 Sin azúcar – endulzadas con eritritol 🌾 Sin gluten – aptas para celíacos 🥛 Sin lácteos – libres de lactosa y derivados 💚 Keto friendly – bajas en carbohidratos 🔟 Contenido: 10 piezas por paquete Beneficios: Aporta fibra y grasas saludables Endulzadas naturalmente, sin picos de glucosa Elaboradas con ingredientes 100% naturales Modo de consumo: Perfectas para acompañar tu café, té o como snack saludable en cualquier momento del día.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-354.jpg?v=1754695833,,,
Granola de arándano y ajonjolí,80.00,"Granola de Arándano y Ajonjolí Integral – 100% Natural y Pura Disfruta de un desayuno o snack saludable con nuestra Granola artesanal de arándano y ajonjolí integral . Elaborada de forma tradicional, sin aceites añadidos, sin químicos, sin productos refinados, sin conservadores ni sabores artificiales, para que solo disfrutes el verdadero sabor de la naturaleza. Los arándanos aportan un toque dulce y antioxidante, mientras que el ajonjolí integral añade proteínas, calcio y un sabor único. Perfecta para combinar con yogurt, leche, frutas o disfrutar sola como snack nutritivo. Características: 🌾 Ingredientes: Avena integral, arándanos deshidratados, ajonjolí integral, miel orgánica, aceite de coco virgen extra y un toque de canela 🌱 Libre de aceites procesados, químicos, productos refinados, conservadores y sabores artificiales 💪 Rica en fibra, antioxidantes y grasas saludables 🥣 Ideal para desayunos, meriendas o postres saludables 📦 Presentación: Bolsa de 450g Recomendación de conservación: Mantener en un lugar fresco y seco. Consumir preferentemente antes de 6 meses después de la fecha de elaboración.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-21-34.jpg?v=1754694874,,,
Harina de Almendra (250 g),85.00,"Disfruta de nuestra Harina de Almendra Premium, elaborada con almendras blanqueadas y finamente molidas para lograr una textura extra suave y perfecta para repostería saludable y de alta calidad. Ideal para quienes buscan una opción nutritiva sin renunciar al sabor. Características e ingredientes principales: 🥥 100% almendra blanqueada finamente molida 🌾 Naturalmente libre de gluten y baja en carbohidratos 💪 Rica en proteínas, fibra y grasas saludables 🍰 Textura fina ideal para panadería, repostería y recetas keto Beneficios: ✅ Aporta energía de forma natural y saludable ✅ Ayuda a mantener una dieta baja en carbohidratos ✅ Favorece la saciedad y el equilibrio nutricional ✅ Ideal para personas con intolerancia al gluten o que siguen dietas keto o paleo Modo de consumo: Perfecta para preparar panes, galletas, muffins, pasteles o para espesar salsas y batidos. Úsala como sustituto de la harina tradicional en tus recetas favoritas.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/harina_de_almedra_sinfondo.jpg?v=1765185448,,,
Hot cakes sin azúcar (500 g),85.00,"Disfruta de nuestros Hot Cakes sin azúcar, una opción deliciosa y saludable para comenzar tu día con energía. Perfectos para quienes buscan cuidar su alimentación sin renunciar al sabor y la textura esponjosa de unos hot cakes tradicionales. Características e ingredientes principales: 🌾 Hechos con trigo integral molido y harina de avena 🍬 Endulzados con fructosa natural y stevia orgánica (sin azúcar refinada) 💪 Ricos en fibra, vitaminas del complejo B y proteína de soya 🌱 Opción saludable, baja en calorías y rápida de preparar Beneficios: Apta para personas con diabetes o que controlan su ingesta de azúcar Ayuda a mantener niveles de glucosa estables Ideal para dietas balanceadas y conscientes Preparación rápida: solo agrega agua, o leche y huevo si lo deseas Modo de consumo: Prepara tus hot cakes agregando agua o leche y huevo al gusto, cocina en sartén antiadherente y disfruta de un desayuno nutritivo y delicioso.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/hotcakes_sinazucar_sinfondo_1.jpg?v=1765185448,,,
Hot cakes sin gluten (500 g),80.00,"Disfruta de unos hot cakes esponjosos y deliciosos con nuestra mezcla especial sin gluten, elaborada con ingredientes naturales y nutritivos. Rica en fibra y vitaminas del complejo B, es la opción perfecta para quienes buscan cuidar su alimentación sin sacrificar sabor. Características e ingredientes principales: 🌱 100% libre de gluten, sin trigo 💚 Rica en fibra y vitaminas del complejo B ⚡ Baja en calorías, ideal para un desayuno balanceado 🥥 Elaborada con almendra, coco y otros ingredientes naturales 🍃 Endulzada con stevia orgánica, sin azúcar refinada Beneficios: ✨ Apta para personas intolerantes al gluten ✨ Favorece la digestión y aporta energía de manera natural ✨ Apoya una dieta saludable y consciente ✨ Preparación práctica y rápida para cualquier ocasión Modo de preparación: Agrega agua a la mezcla (puedes añadir leche y huevo si lo prefieres). Revuelve bien hasta lograr una consistencia homogénea. Cocina en sartén caliente y disfruta de hot cakes nutritivos y llenos de sabor.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/hotcakes_sinazucar_sinfondo_2.jpg?v=1765185448,,,
Huevo de granja,70.00,"Huevo de Granja • Libre de Aditivos y Químicos Disfruta de nuestros huevos frescos de granja , criados de manera natural y sin el uso de aditivos de crecimiento ni químicos. Un producto sano y nutritivo, ideal para quienes valoran la calidad y el bienestar animal. Características principales: 🐔 Criados en granjas naturales 🚫 Sin aditivos de crecimiento 🌿 Libre de químicos y hormonas 🥚 Frescura garantizada 🔟 Presentación por paquete de 30 unidades Beneficios: Alto valor nutricional Sabor auténtico y natural Producto sostenible y responsable Modo de consumo: Perfecto para preparar desayunos saludables y recetas caseras con ingredientes naturales.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-36_32b16d9b-cac7-4c1f-b4a9-0bfd55c893de.jpg?v=1754695833,,,
Matcha orgánica (90 g),220.00,"Descubre nuestro matcha orgánico en polvo, un té verde milenario que concentra todos los beneficios de la planta al consumirse en su forma molida. Rico en antioxidantes y nutrientes, es ideal para cuidar tu salud, aumentar tu energía y mejorar tu bienestar diario. Características e ingrediente principal: 🍵 100% matcha en polvo de origen chino 🌱 Rico en antioxidantes y nutrientes esenciales 💚 Producto natural, vegano y libre de aditivos ⚡ Energizante y relajante al mismo tiempo Beneficios: ✅ Refuerza el sistema inmunológico y ayuda a reducir el estrés ✅ Estimula la concentración mientras promueve la calma ✅ Contribuye a la salud cardiovascular y al control de la hipertensión ✅ Ayuda a regular el azúcar en sangre y la diabetes ✅ Favorece la quema de grasas y el control de peso ✅ Combate radicales libres y retrasa el envejecimiento ✅ Mejora la salud de piel, uñas y dientes Modo de consumo: Disuelve 1 cucharadita (2 g) en 100 ml de agua caliente o leche vegetal. Bate enérgicamente hasta obtener una textura suave y espumosa. Ajusta la intensidad según tu gusto y disfrútalo solo o en lattes, smoothies y postres.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/matcha_sinfondo_af25e4f0-c206-452f-9adb-151e5f84cc6e.jpg?v=1765187236,,,
Miel de abeja pasteurizada,100.00,"Miel de Abeja Pasteurizada Pura • Sin Químicos Añadidos • No se Cristaliza Disfruta de la miel de abeja pura , cuidadosamente pasteurizada para conservar su dulzura natural y sus propiedades. Producida de forma artesanal y libre de químicos , es perfecta para endulzar de manera saludable tus alimentos y bebidas. Características principales: 🍯 100% pura – sin aditivos, colorantes ni conservadores 🌿 Libre de químicos 🔥 Pasteurizada – evita la cristalización 💛 Sabor y aroma natural de la colmena 📦 Presentación: Envase seguro y práctico Beneficios: Fuente natural de energía Contiene antioxidantes y compuestos bioactivos Ideal para endulzar sin usar azúcar refinada Modo de consumo: Perfecta para acompañar pan, yogur, frutas, bebidas calientes o para usar en repostería. Conservación: Almacenar en un lugar fresco y seco, protegido de la luz directa.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-352.jpg?v=1754695832,Lácteos,,
Miel de agave orgánica (500 g),80.00,"Disfruta de nuestra miel de agave orgánica, un endulzante natural con bajo índice glucémico y alto poder endulzante . Una alternativa saludable y deliciosa para quienes buscan cuidar su alimentación sin renunciar al sabor dulce. Características e ingrediente principal: 🌱 Elaborada con jarabe de agave azul orgánico 🍯 Endulzante natural con bajo índice glucémico 🚫 Sin azúcar refinada ni aditivos 💛 Opción saludable y consciente Beneficios: Ideal para quienes buscan controlar su ingesta de azúcar o mantener niveles estables de glucosa Excelente sustituto del azúcar en postres, bebidas y recetas Perfecta para dietas balanceadas y personas con diabetes o sobrepeso Modo de consumo: Úsala en hot cakes, yogur, bebidas calientes, repostería o disfrútala directamente como un toque dulce natural.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/miel_sinfondo_606d8488-b1eb-4a0a-92bc-c20bf9220cd5.jpg?v=1765186526,,,
